"","pictureName","date","author","style","genre"
"316","Hyde Park","1871","Claude Monet","Impressionism","landscape"
"317","Ice Floes on Siene","1880","Claude Monet","Impressionism","landscape"
"318","Ice Floes on the Seine at Bougival","1868","Claude Monet","Impressionism","landscape"
"319","Ice Floes, Misty Morning","1894","Claude Monet","Impressionism","landscape"
"320","Ice on the Siene at Bennecourt","1897","Claude Monet","Impressionism","landscape"
"321","Ice, Lock Port Villez","1893","Claude Monet","Impressionism","landscape"
"322","Ile de La Grande Jatte Through the Trees","1878","Claude Monet","Impressionism","landscape"
"323","Impression, sunrise","1873","Claude Monet",NA,"cityscape"
"324","In The Woods At Giverny Blanche Hoschede","1887","Claude Monet","Impressionism","genre painting"
"325","In the Garden","1875","Claude Monet","Impressionism","genre painting"
"326","In the Garden","1895","Claude Monet","Impressionism","genre painting"
"327","In the Meadow","1876","Claude Monet","Impressionism","genre painting"
"328","In the Norvegienne Boat at Giverny","1887","Claude Monet","Impressionism","genre painting"
"329","Infantry Guards Wandering along the River","1870","Claude Monet","Impressionism","genre painting"
"330","Iris at the Sea-Rose Pond","1917","Claude Monet","Impressionism","flower painting"
"331","Irises","1917","Claude Monet","Impressionism","flower painting"
"332","Irises 2","1917","Claude Monet","Impressionism","flower painting"
"333","Irises 3","1917","Claude Monet","Impressionism","flower painting"
"334","Irises and Water-Lilies","1917","Claude Monet","Impressionism","flower painting"
"335","Irises in Monet's Garden","1900","Claude Monet","Impressionism","flower painting"
"336","Islands at Port-Villez","1897","Claude Monet","Impressionism","landscape"
"337","Isle of Flowers on Siene near Vetheuil","1880","Claude Monet","Impressionism","landscape"
"338","Isleets at Port-Villez","1883","Claude Monet","Impressionism","landscape"
"339","Japan's (Camille Monet in Japanese Costume)","1876","Claude Monet","Japonism","portrait"
"340","Jar Of Peaches","1866","Claude Monet","Impressionism","still life"
"341","Jean Monet in the Craddle","1867","Claude Monet","Impressionism","portrait"
"342","Jean Monet on a Mechanical Horse","1872","Claude Monet","Impressionism","portrait"
"343","Jean-Pierre Hoschede, called 'Bebe Jean'","1878","Claude Monet","Impressionism","portrait"
"344","Jeanne-Marguerite Lecadre in the Garden","1866","Claude Monet","Impressionism","genre painting"
"345","Jerusalem Artichokes","1880","Claude Monet","Impressionism","flower painting"
"346","Juan-les-Pins","1888","Claude Monet","Impressionism","landscape"
"347","Landscape With Thunderstorm","1880","Claude Monet","Impressionism","landscape"
"348","Landscape at Giverny","1887","Claude Monet","Impressionism","landscape"
"349","Landscape at Giverny","1888","Claude Monet","Impressionism","genre painting"
"350","Landscape at Port-Villez","1883","Claude Monet","Impressionism","landscape"
"351","Landscape at Port-Villez","1885","Claude Monet","Impressionism","landscape"
"352","Landscape near Montecarlo","1883","Claude Monet","Impressionism","landscape"
"353","Landscape on the Ile Saint-Martin","1881","Claude Monet","Impressionism","landscape"
"354","Landscape with Thunderstorm, Vetheuil, 1880","1880","Claude Monet","Impressionism","landscape"
"355","Lane in Normandy","1868","Claude Monet","Impressionism","landscape"
"356","Lane in the Poppy Fields, Ile Saint-Martin","1880","Claude Monet","Impressionism","landscape"
"357","Lane in the Vineyards at Argenteuil","1872","Claude Monet","Impressionism","landscape"
"358","Late Afternoon in Vetheuil","1880","Claude Monet","Impressionism","landscape"
"359","Lavacourt, Sun and Snow","1879","Claude Monet","Impressionism","landscape"
"360","Leicester Square at Night","1901","Claude Monet","Impressionism","cityscape"
"361","Leon Peltier","1879","Claude Monet","Impressionism","portrait"
"362","Lighthouse at the Hospice","1864","Claude Monet","Impressionism","cityscape"
"363","Lilac Irises","1917","Claude Monet","Impressionism","flower painting"
"364","Lilacs in the Sun","1872","Claude Monet","Impressionism","landscape"
"365","Lilacs, Grey Weather","1873","Claude Monet","Impressionism","landscape"
"366","London Parlement","1905","Claude Monet","Impressionism","landscape"
"367","Low Tide at Pourville","1882","Claude Monet","Impressionism","landscape"
"368","Low Tide at Pourville 02","1882","Claude Monet","Impressionism","marina"
"369","Low Tide at Pourville, Misty Weather","1882","Claude Monet","Impressionism","landscape"
"370","Low Tide at Varengeville","1882","Claude Monet","Impressionism","landscape"
"371","Low Tide at Varengeville 02","1882","Claude Monet","Impressionism","landscape"
"372","Lunch on the Grass","1865","Claude Monet","Impressionism","genre painting"
"373","Lunch on the Grass (central panel)","1865","Claude Monet","Impressionism","genre painting"
"374","Lunch on the Grass (study)","1865","Claude Monet","Impressionism","genre painting"
"375","Lunch on the Grass, Left Panel","1865","Claude Monet","Impressionism","genre painting"
"376","Lunch under the Canopy","1883","Claude Monet","Impressionism","genre painting"
"377","Lunch on the Grass","1865","Claude Monet","Impressionism","genre painting"
"378","Madame Monet Embroidering","1875","Claude Monet","Impressionism","portrait"
"379","Meadow","1879","Claude Monet","Impressionism","landscape"
"380","Meadow at Bezons","1874","Claude Monet","Impressionism","landscape"
"381","Meadow at Giverny","1888","Claude Monet","Impressionism","landscape"
"382","Meadow at Limetz","1888","Claude Monet","Impressionism","landscape"
"383","Meadow in Giverny","1890","Claude Monet","Impressionism","landscape"
"384","Meadow with Haystacks near Giverny","1885","Claude Monet","Impressionism","landscape"
"385","Meadow with Poplars","1875","Claude Monet","Impressionism","landscape"
"386","Meadows in Giverny","1888","Claude Monet","Impressionism","landscape"
"387","Meditation, Madame Monet Sitting on a Sofa","1871","Claude Monet","Impressionism","portrait"
"388","Mediteranian Coast, Grey Day","1888","Claude Monet","Impressionism","landscape"
"389","Mer agitée à Étretat","1883","Claude Monet","Impressionism","landscape"
"390","Meton Seen from Cap Martin","1884","Claude Monet","Impressionism","landscape"
"391","Misty Morning on the Seine","1897","Claude Monet","Impressionism","landscape"
"392","Misty Morning on the Seine in Bue","1897","Claude Monet","Impressionism","landscape"
"393","Misty Morning on the Seine, Mauve","1897","Claude Monet","Impressionism","landscape"
"394","Misty Morning on the Seine, Sunrise","1897","Claude Monet","Impressionism","landscape"
"395","Monet's garden in Argenteuil Sun","1873","Claude Monet","Impressionism","landscape"
"396","Monte Carlo Seen from Roquebrune","1884","Claude Monet","Impressionism","cityscape"
"397","Morning Landscape, Giverny","1888","Claude Monet","Impressionism","landscape"
"398","Morning at Etretat","1883","Claude Monet","Impressionism","landscape"
"399","Morning by the Sea","1881","Claude Monet","Impressionism","landscape"
"400","Morning on the Seine","1897","Claude Monet","Impressionism","landscape"
"401","Morning on the Seine","1893","Claude Monet","Impressionism","landscape"
"402","Morning on the Seine","1896","Claude Monet","Impressionism","landscape"
"403","Morning on the Seine","1897","Claude Monet","Impressionism","landscape"
"404","Morning on the Seine 02","1896","Claude Monet","Impressionism","landscape"
"405","Morning on the Seine 02","1897","Claude Monet","Impressionism","landscape"
"406","Morning on the Seine at Giverny 02","1897","Claude Monet","Impressionism","landscape"
"407","Morning on the Seine in the Rain","1898","Claude Monet","Impressionism","landscape"
"408","Morning on the Seine near Giverny","1897","Claude Monet","Impressionism","landscape"
"409","Morning on the Seine near Giverny 02","1897","Claude Monet","Impressionism","landscape"
"410","Morning on the Seine near Giverny, the Fog","1893","Claude Monet","Impressionism","landscape"
"411","Morning on the Seine, Clear Weather","1897","Claude Monet","Impressionism","landscape"
"412","Morning on the Seine, Clear Weather 02","1897","Claude Monet","Impressionism","landscape"
"413","Morning on the Seine, Mist","1897","Claude Monet","Impressionism","landscape"
"414","Morning on the Seine, near Giverny","1896","Claude Monet","Impressionism","landscape"
